geometry,name,vicinity,types,lat,lng
"{'location': {'lat': 29.9939422, 'lng': -90.0498489}, 'viewport': {'northeast': {'lat': 29.9951936302915, 'lng': -90.04842646970849}, 'southwest': {'lat': 29.9924956697085, 'lng': -90.05112443029151}}}",Shell,"3400 Franklin Avenue, New Orleans","['gas_station', 'atm', 'convenience_store', 'finance', 'store', 'food', 'point_of_interest', 'establishment']",29.9939422,-90.0498489
"{'location': {'lat': 29.9268961, 'lng': -90.0245637}, 'viewport': {'northeast': {'lat': 29.9281556802915, 'lng': -90.0230249697085}, 'southwest': {'lat': 29.9254577197085, 'lng': -90.02572293029151}}}",Shell,"3054 General De Gaulle Drive, New Orleans","['gas_station', 'atm', 'convenience_store', 'finance', 'store', 'food', 'point_of_interest', 'establishment']",29.9268961,-90.0245637
"{'location': {'lat': 29.93852369999999, 'lng': -90.0188195}, 'viewport': {'northeast': {'lat': 29.94058905000001, 'lng': -90.01810985}, 'southwest': {'lat': 29.93783524999999, 'lng': -90.02094845}}}",Texaco New Orleans,"3501 General Meyer Avenue, New Orleans","['gas_station', 'convenience_store', 'car_repair', 'store', 'food', 'point_of_interest', 'establishment']",29.93852369999999,-90.0188195
"{'location': {'lat': 29.90379, 'lng': -90.06593}, 'viewport': {'northeast': {'lat': 29.9051328302915, 'lng': -90.0645746197085}, 'southwest': {'lat': 29.9024348697085, 'lng': -90.0672725802915}}}",Circle K,"1570 Westbank Expressway, Harvey","['convenience_store', 'gas_station', 'store', 'food', 'point_of_interest', 'establishment']",29.90379,-90.06593
"{'location': {'lat': 29.972065, 'lng': -90.121268}, 'viewport': {'northeast': {'lat': 29.97339308029149, 'lng': -90.1198717697085}, 'southwest': {'lat': 29.97069511970849, 'lng': -90.1225697302915}}}",Shell,"9201 Airline Highway, New Orleans","['gas_station', 'atm', 'convenience_store', 'finance', 'store', 'restaurant', 'food', 'point_of_interest', 'establishment']",29.972065,-90.121268
"{'location': {'lat': 29.903218, 'lng': -90.066226}, 'viewport': {'northeast': {'lat': 29.9045873302915, 'lng': -90.0648387697085}, 'southwest': {'lat': 29.9018893697085, 'lng': -90.06753673029151}}}",Shell,"800 Manhattan Boulevard, Harvey","['gas_station', 'atm', 'convenience_store', 'finance', 'store', 'food', 'point_of_interest', 'establishment']",29.903218,-90.066226
"{'location': {'lat': 29.9491138, 'lng': -90.1283133}, 'viewport': {'northeast': {'lat': 29.9504078302915, 'lng': -90.1269755197085}, 'southwest': {'lat': 29.9477098697085, 'lng': -90.1296734802915}}}",Chevron,"1400 South Carrollton Avenue, New Orleans","['gas_station', 'car_repair', 'point_of_interest', 'establishment']",29.9491138,-90.1283133
"{'location': {'lat': 29.9434982, 'lng': -90.1342617}, 'viewport': {'northeast': {'lat': 29.94477573029149, 'lng': -90.13291441970848}, 'southwest': {'lat': 29.9420777697085, 'lng': -90.1356123802915}}}",Shell,"600 South Carrollton Avenue, New Orleans","['gas_station', 'atm', 'convenience_store', 'finance', 'store', 'food', 'point_of_interest', 'establishment']",29.9434982,-90.1342617
"{'location': {'lat': 29.922444, 'lng': -90.12245899999999}, 'viewport': {'northeast': {'lat': 29.92377528029149, 'lng': -90.1211179197085}, 'southwest': {'lat': 29.9210773197085, 'lng': -90.1238158802915}}}",Circle K,"6050 Magazine Street, New Orleans","['convenience_store', 'gas_station', 'atm', 'finance', 'store', 'food', 'point_of_interest', 'establishment']",29.922444,-90.12245899999999
"{'location': {'lat': 29.9082567, 'lng': -90.03030729999999}, 'viewport': {'northeast': {'lat': 29.9098003302915, 'lng': -90.02884171970851}, 'southwest': {'lat': 29.9071023697085, 'lng': -90.03153968029152}}}",Brothers Stump,"502 Terry Parkway, Terrytown","['convenience_store', 'gas_station', 'car_repair', 'store', 'food', 'point_of_interest', 'establishment']",29.9082567,-90.03030729999999
"{'location': {'lat': 29.9162868, 'lng': -90.11889839999999}, 'viewport': {'northeast': {'lat': 29.9177053302915, 'lng': -90.11730221970849}, 'southwest': {'lat': 29.9150073697085, 'lng': -90.1200001802915}}}",Shell Gas Station,"5600 Tchoupitoulas Street, New Orleans","['gas_station', 'point_of_interest', 'establishment']",29.9162868,-90.11889839999999
"{'location': {'lat': 29.8991313, 'lng': -90.04561849999999}, 'viewport': {'northeast': {'lat': 29.90056973029149, 'lng': -90.0443401197085}, 'southwest': {'lat': 29.89787176970849, 'lng': -90.0470380802915}}}",Shell,"2800 Belle Chasse Highway, Gretna","['gas_station', 'atm', 'convenience_store', 'finance', 'store', 'restaurant', 'food', 'point_of_interest', 'establishment']",29.8991313,-90.04561849999999
"{'location': {'lat': 29.895024, 'lng': -90.09266339999999}, 'viewport': {'northeast': {'lat': 29.89641988029151, 'lng': -90.0912330697085}, 'southwest': {'lat': 29.89372191970851, 'lng': -90.0939310302915}}}",Shell,"4280 Westbank Expressway, Marrero","['gas_station', 'atm', 'convenience_store', 'finance', 'store', 'food', 'point_of_interest', 'establishment']",29.895024,-90.09266339999999
"{'location': {'lat': 30.0029076, 'lng': -90.041955}, 'viewport': {'northeast': {'lat': 30.00416233029149, 'lng': -90.0406263197085}, 'southwest': {'lat': 30.00146436970849, 'lng': -90.0433242802915}}}",Chevron,"4046 Chef Menteur Highway, New Orleans","['gas_station', 'convenience_store', 'car_repair', 'store', 'food', 'point_of_interest', 'establishment']",30.0029076,-90.041955
"{'location': {'lat': 29.9041204, 'lng': -90.02980819999999}, 'viewport': {'northeast': {'lat': 29.9053544802915, 'lng': -90.02850891970849}, 'southwest': {'lat': 29.9026565197085, 'lng': -90.0312068802915}}}",Chevron,"585 Terry Parkway, Terrytown","['gas_station', 'convenience_store', 'car_repair', 'store', 'food', 'point_of_interest', 'establishment']",29.9041204,-90.02980819999999
"{'location': {'lat': 29.8928908, 'lng': -90.0584366}, 'viewport': {'northeast': {'lat': 29.8941671802915, 'lng': -90.05703776970849}, 'southwest': {'lat': 29.8914692197085, 'lng': -90.05973573029151}}}",Sam's Club Gas Station,"1537-1541 Manhattan Boulevard, Harvey","['gas_station', 'point_of_interest', 'establishment']",29.8928908,-90.0584366
"{'location': {'lat': 29.8951732, 'lng': -90.1006487}, 'viewport': {'northeast': {'lat': 29.8964302802915, 'lng': -90.0991046697085}, 'southwest': {'lat': 29.8937323197085, 'lng': -90.1018026302915}}}",Exxon,"5000 Westbank Expressway, Marrero","['gas_station', 'point_of_interest', 'establishment']",29.8951732,-90.1006487
"{'location': {'lat': 29.9002951, 'lng': -90.0301193}, 'viewport': {'northeast': {'lat': 29.9018334802915, 'lng': -90.02884586970849}, 'southwest': {'lat': 29.8991355197085, 'lng': -90.0315438302915}}}",Brother's Food Mart,"2000 Carol Sue Avenue, Gretna","['convenience_store', 'gas_station', 'store', 'food', 'point_of_interest', 'establishment']",29.9002951,-90.0301193
"{'location': {'lat': 29.8910133, 'lng': -90.05855489999999}, 'viewport': {'northeast': {'lat': 29.8924994802915, 'lng': -90.05733421970848}, 'southwest': {'lat': 29.8898015197085, 'lng': -90.06003218029149}}}",Brothers Food Mart,"1600 Manhattan Boulevard, Harvey","['convenience_store', 'gas_station', 'store', 'food', 'point_of_interest', 'establishment']",29.8910133,-90.05855489999999
"{'location': {'lat': 29.8939364, 'lng': -90.0996574}, 'viewport': {'northeast': {'lat': 29.8954655302915, 'lng': -90.0984583697085}, 'southwest': {'lat': 29.8927675697085, 'lng': -90.1011563302915}}}",Chevron Marrero,"4915 Westbank Expressway, Marrero","['gas_station', 'convenience_store', 'store', 'food', 'point_of_interest', 'establishment']",29.8939364,-90.0996574
"{'location': {'lat': 29.9002844, 'lng': -90.03011769999999}, 'viewport': {'northeast': {'lat': 29.9018276302915, 'lng': -90.0288356697085}, 'southwest': {'lat': 29.8991296697085, 'lng': -90.0315336302915}}}",Shell,"2000 Carol Sue Avenue, Gretna","['gas_station', 'atm', 'convenience_store', 'finance', 'store', 'food', 'point_of_interest', 'establishment']",29.9002844,-90.03011769999999
